# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
311424	Dehalococcoides mccartyi VS	no rank	root,cellular organisms,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi,Dehalococcoides mccartyi VS	1,131567,2,200795,301297,1202465,1202464,61434,61435,311424
573569	Francisella sp. TX077308	species	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella sp. TX077308	1,131567,2,1224,1236,72273,34064,262,573569
426114	Thiomonas arsenitoxydans	species	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified Burkholderiales,Burkholderiales Genera incertae sedis,Thiomonas,Thiomonas arsenitoxydans	1,131567,2,1224,28216,80840,119065,224471,32012,426114
426117	Methylobacterium sp. 4-46	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp. 4-46	1,131567,2,1224,28211,356,119045,407,426117
688269	Thermotoga thermarum DSM 5069	no rank	root,cellular organisms,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,Thermotoga thermarum,Thermotoga thermarum DSM 5069	1,131567,2,200918,188708,2419,188709,2335,119394,688269
688270	Cellulophaga algicola DSM 14237	no rank	root,cellular organisms,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga algicola,Cellulophaga algicola DSM 14237	1,131567,2,68336,976,117743,200644,49546,104264,59600,688270
561177	Anaerococcus hydrogenalis DSM 7454	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus hydrogenalis,Anaerococcus hydrogenalis DSM 7454	1,131567,2,1239,186801,186802,1570339,165779,33029,561177
229533	Fusarium graminearum PH-1	no rank	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium sambucinum species complex,Fusarium graminearum,Fusarium graminearum PH-1	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222543,5125,110618,5506,569360,5518,229533
237727	Erythrobacter sp. NAP1	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter sp. NAP1	1,131567,2,1224,28211,204457,335929,1041,237727
8364	Xenopus (Silurana) tropicalis	species	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amphibia,Batrachia,Anura,Pipoidea,Pipidae,Xenopodinae,Xenopus,Silurana,Xenopus (Silurana) tropicalis	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,8292,41666,8342,30319,8352,8360,8353,8363,8364
221359	Synechococcus sp. RS9916	species	root,cellular organisms,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Synechococcus,Synechococcus sp. RS9916	1,131567,2,1117,1301283,1118,1129,221359
221360	Synechococcus sp. RS9917	species	root,cellular organisms,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Synechococcus,Synechococcus sp. RS9917	1,131567,2,1117,1301283,1118,1129,221360
13684	Parastagonospora nodorum	species	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Phaeosphaeriaceae,Parastagonospora,Parastagonospora nodorum	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715962,147541,451868,92860,715340,5020,1351751,13684
712898	Pantoea vagans C9-1	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Pantoea vagans,Pantoea vagans C9-1	1,131567,2,1224,1236,91347,543,53335,470934,712898
762051	Leuconostoc kimchii IMSNU 11154	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc kimchii,Leuconostoc kimchii IMSNU 11154	1,131567,2,1239,91061,186826,81850,1243,136609,762051
999630	Thermoproteus uzoniensis 768-20	no rank	root,cellular organisms,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis,Thermoproteus uzoniensis 768-20	1,131567,2157,28889,183924,2266,2267,2270,184117,999630
188626	Dermacoccus sp. Ellin185	species	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Dermacoccaceae,Dermacoccus,Dermacoccus sp. Ellin185	1,131567,2,201174,1760,85003,2037,85006,145357,57495,188626
634499	Erwinia pyrifoliae Ep1/96	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia,Erwinia pyrifoliae,Erwinia pyrifoliae Ep1/96	1,131567,2,1224,1236,91347,543,551,79967,634499
155864	Escherichia coli O157:H7 str. EDL933	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O157:H7,Escherichia coli O157:H7 str. EDL933	1,131567,2,1224,1236,91347,543,561,562,83334,155864
457425	Streptomyces albus J1074	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces albus,Streptomyces albus J1074	1,131567,2,201174,1760,85003,2037,85011,2062,1883,1888,457425
712938	Lactobacillus fermentum CECT 5716	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fermentum,Lactobacillus fermentum CECT 5716	1,131567,2,1239,91061,186826,33958,1578,1613,712938
467200	Streptomyces griseoflavus Tu4000	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces griseoflavus,Streptomyces griseoflavus Tu4000	1,131567,2,201174,1760,85003,2037,85011,2062,1883,35619,467200
1048834	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius,Alicyclobacillus acidocaldarius subsp. acidocaldarius,Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	1,131567,2,1239,91061,1385,186823,29330,405212,1388,1048834
680198	Streptomyces scabiei 87.22	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces scabiei,Streptomyces scabiei 87.22	1,131567,2,201174,1760,85003,2037,85011,2062,1883,1930,680198
393480	Fusobacterium nucleatum subsp. polymorphum ATCC 10953	no rank	root,cellular organisms,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Fusobacterium nucleatum subsp. polymorphum,Fusobacterium nucleatum subsp. polymorphum ATCC 10953	1,131567,2,32066,203490,203491,203492,848,851,76857,393480
983328	Campylobacter fetus subsp. venerealis NCTC 10354	no rank	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,Campylobacter fetus subsp. venerealis,Campylobacter fetus subsp. venerealis NCTC 10354	1,131567,2,1224,68525,29547,213849,72294,194,196,32020,983328
573729	Myceliophthora thermophila ATCC 42464	no rank	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Myceliophthora,Myceliophthora thermophila,Myceliophthora thermophila ATCC 42464	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222544,5139,35718,49009,78579,573729
450851	Phenylobacterium zucineum HLK1	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium zucineum,Phenylobacterium zucineum HLK1	1,131567,2,1224,28211,204458,76892,20,284016,450851
9606	Homo sapiens	species	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Deuterostomia,Chordata,Craniata,Vertebrata,Gnathostomata,Teleostomi,Euteleostomi,Sarcopterygii,Dipnotetrapodomorpha,Tetrapoda,Amniota,Mammalia,Theria,Eutheria,Boreoeutheria,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Homo,Homo sapiens	1,131567,2759,33154,33208,6072,33213,33511,7711,89593,7742,7776,117570,117571,8287,1338369,32523,32524,40674,32525,9347,1437010,314146,9443,376913,314293,9526,314295,9604,207598,9605,9606
639282	Deferribacter desulfuricans SSM1	no rank	root,cellular organisms,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,Deferribacter desulfuricans,Deferribacter desulfuricans SSM1	1,131567,2,200930,68337,191393,191394,53572,197162,639282
319795	Deinococcus geothermalis DSM 11300	no rank	root,cellular organisms,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus geothermalis,Deinococcus geothermalis DSM 11300	1,131567,2,1297,188787,118964,183710,1298,68909,319795
565575	Ureaplasma urealyticum serovar 10 str. ATCC 33699	no rank	root,cellular organisms,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,Ureaplasma urealyticum,Ureaplasma urealyticum serovar 10,Ureaplasma urealyticum serovar 10 str. ATCC 33699	1,131567,2,544448,31969,2085,2092,2129,2130,95664,565575
123214	Persephonella marina EX-H1	no rank	root,cellular organisms,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,Persephonella marina,Persephonella marina EX-H1	1,131567,2,200783,187857,32069,224027,182899,309805,123214
580327	Thermoanaerobacterium thermosaccharolyticum DSM 571	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermoanaerobacterium,Thermoanaerobacterium thermosaccharolyticum,Thermoanaerobacterium thermosaccharolyticum DSM 571	1,131567,2,1239,186801,68295,543371,28895,1517,580327
426355	Methylobacterium radiotolerans JCM 2831	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium radiotolerans,Methylobacterium radiotolerans JCM 2831	1,131567,2,1224,28211,356,119045,407,31998,426355
393595	Alcanivorax borkumensis SK2	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis,Alcanivorax borkumensis SK2	1,131567,2,1224,1236,135619,224372,59753,59754,393595
426368	Methanococcus maripaludis C7	no rank	root,cellular organisms,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Methanococcus maripaludis C7	1,131567,2157,28890,183939,2182,2183,2184,39152,426368
573826	Candida dubliniensis CD36	no rank	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Saccharomycotina,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida/Lodderomyces clade,Candida,Candida dubliniensis,Candida dubliniensis CD36	1,131567,2759,33154,4751,451864,4890,716545,147537,4891,4892,766764,1535325,1535326,42374,573826
458817	Shewanella halifaxensis HAW-EB4	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella halifaxensis,Shewanella halifaxensis HAW-EB4	1,131567,2,1224,1236,135622,267890,22,271098,458817
394	Sinorhizobium fredii NGR234	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium/Ensifer group,Sinorhizobium,Sinorhizobium fredii group,Sinorhizobium fredii,Sinorhizobium fredii NGR234	1,131567,2,1224,28211,356,82115,227292,28105,663276,380,394
491915	Anoxybacillus flavithermus WK1	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus flavithermus,Anoxybacillus flavithermus WK1	1,131567,2,1239,91061,1385,186817,150247,33934,491915
491916	Rhizobium etli CIAT 652	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium,Rhizobium etli,Rhizobium etli CIAT 652	1,131567,2,1224,28211,356,82115,227290,379,29449,491916
262543	Exiguobacterium sibiricum 255-15	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales incertae sedis,Bacillales Family XII. Incertae Sedis,Exiguobacterium,Exiguobacterium sibiricum,Exiguobacterium sibiricum 255-15	1,131567,2,1239,91061,1385,539002,539742,33986,332410,262543
663952	Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae group,Streptococcus dysgalactiae,Streptococcus dysgalactiae subsp. dysgalactiae,Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957	1,131567,2,1239,91061,186826,1300,1301,119603,1334,99822,663952
33169	Eremothecium gossypii	species	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Saccharomycotina,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium gossypii	1,131567,2759,33154,4751,451864,4890,716545,147537,4891,4892,4893,33170,33169
565653	Enterococcus gallinarum EG2	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus gallinarum,Enterococcus gallinarum EG2	1,131567,2,1239,91061,186826,81852,1350,1353,565653
565655	Enterococcus casseliflavus EC20	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus casseliflavus,Enterococcus casseliflavus EC20	1,131567,2,1239,91061,186826,81852,1350,37734,565655
33178	Aspergillus terreus	species	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,147545,451871,5042,1131492,5052,33178
565664	Enterococcus faecium C68	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,Enterococcus faecium C68	1,131567,2,1239,91061,186826,81852,1350,1352,565664
696747	Arthrospira platensis NIES-39	no rank	root,cellular organisms,Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Arthrospira,Arthrospira platensis,Arthrospira platensis NIES-39	1,131567,2,1117,1301283,1150,35823,118562,696747
491952	Marinomonas posidonica IVIA-Po-181	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas posidonica,Marinomonas posidonica IVIA-Po-181	1,131567,2,1224,1236,135619,135620,28253,936476,491952
246194	Carboxydothermus hydrogenoformans Z-2901	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,Carboxydothermus hydrogenoformans,Carboxydothermus hydrogenoformans Z-2901	1,131567,2,1239,186801,68295,186814,129957,129958,246194
246195	Dichelobacter nodosus VCS1703A	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Dichelobacter,Dichelobacter nodosus,Dichelobacter nodosus VCS1703A	1,131567,2,1224,1236,135615,868,869,870,246195
246196	Mycobacterium smegmatis str. MC2 155	no rank	root,cellular organisms,Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis,Mycobacterium smegmatis str. MC2 155	1,131567,2,201174,1760,85003,2037,85007,1762,1763,1772,246196
246197	Myxococcus xanthus DK 1622	no rank	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Myxococcales,Cystobacterineae,Myxococcaceae,Myxococcus,Myxococcus xanthus,Myxococcus xanthus DK 1622	1,131567,2,1224,68525,28221,29,80811,31,32,34,246197
246199	Ruminococcus albus 8	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus albus,Ruminococcus albus 8	1,131567,2,1239,186801,186802,541000,1263,1264,246199
246200	Ruegeria pomeroyi DSS-3	no rank	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,Ruegeria pomeroyi,Ruegeria pomeroyi DSS-3	1,131567,2,1224,28211,204455,31989,97050,89184,246200
246201	Streptococcus mitis NCTC 12261	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,Streptococcus mitis NCTC 12261	1,131567,2,1239,91061,186826,1300,1301,28037,246201
862965	Haemophilus parainfluenzae T3T1	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,Haemophilus parainfluenzae T3T1	1,131567,2,1224,1236,135625,712,724,729,862965
655811	Anaerococcus vaginalis ATCC 51170	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,Anaerococcus vaginalis,Anaerococcus vaginalis ATCC 51170	1,131567,2,1239,186801,186802,1570339,165779,33037,655811
655812	Aerococcus viridans ATCC 11563	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans,Aerococcus viridans ATCC 11563	1,131567,2,1239,91061,186826,186827,1375,1377,655812
655813	Streptococcus oralis ATCC 35037	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oralis,Streptococcus oralis ATCC 35037	1,131567,2,1239,91061,186826,1300,1301,1303,655813
655815	Zunongwangia profunda SM-A87	no rank	root,cellular organisms,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zunongwangia,Zunongwangia profunda,Zunongwangia profunda SM-A87	1,131567,2,68336,976,117743,200644,49546,417127,398743,655815
360910	Bordetella avium 197N	no rank	root,cellular organisms,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella avium,Bordetella avium 197N	1,131567,2,1224,28216,80840,506,517,521,360910
360911	Exiguobacterium sp. AT1b	species	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales incertae sedis,Bacillales Family XII. Incertae Sedis,Exiguobacterium,Exiguobacterium sp. AT1b	1,131567,2,1239,91061,1385,539002,539742,33986,360911
41431	Cyanothece sp. PCC 8801	species	root,cellular organisms,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Cyanothece,Cyanothece sp. PCC 8801	1,131567,2,1117,1301283,1118,43988,41431
718252	Faecalibacterium prausnitzii L2-6	no rank	root,cellular organisms,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii L2-6	1,131567,2,1239,186801,186802,541000,216851,853,718252
279010	Bacillus licheniformis DSM 13 = ATCC 14580	no rank	root,cellular organisms,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,Bacillus licheniformis,Bacillus licheniformis DSM 13 = ATCC 14580	1,131567,2,1239,91061,1385,186817,1386,653685,1402,279010
164328	Phytophthora ramorum	species	root,cellular organisms,Eukaryota,Stramenopiles,Oomycetes,Peronosporales,Phytophthora,Phytophthora ramorum	1,131567,2759,33634,4762,4776,4783,164328
