#species name	tax id	core/periphery/adherent	source	source version
Aspergillus fumigatus	5085	core	Ensembl Fungi	release 17
Neurospora crassa	5141	core	Ensembl Fungi	release 17
Sclerotinia sclerotiorum	5180	periphery	Ensembl Fungi	release 17
Ustilago maydis	5270	core	Ensembl Fungi	release 17
Puccinia graminis	5297	core	Ensembl Fungi	release 17
Phanerochaete chrysosporium	5306	periphery	JGI	not available
Fusarium oxysporum	5507	periphery	Ensembl Fungi	release 17
Gibberella zeae	5518	core	Ensembl Fungi	release 17
Leishmania donovani	5661	periphery	Refseq	protozoa
Leishmania major	5664	periphery	Ensembl Protists	release 17
Trypanosoma brucei	5691	periphery	Ensembl Protists	release 17
Trichomonas vaginalis	5722	core	unknown	not available
Entamoeba histolytica	5759	periphery	Ensembl Protists	release 17
Naegleria gruberi	5762	periphery	Refseq	protozoa
Dictyostelium purpureum	5786	core	Refseq	protozoa
Toxoplasma gondii	5811	periphery	Ensembl Protists	release 17
Plasmodium berghei	5821	periphery	Ensembl Protists	release 17
Plasmodium chabaudi	5825	periphery	Ensembl Protists	release 17
Plasmodium falciparum	5833	core	Ensembl Protists	release 17
Plasmodium knowlesi	5850	periphery	Ensembl Protists	release 17
Plasmodium vivax	5855	periphery	Ensembl Protists	release 17
Tetrahymena thermophila	5911	periphery	Ensembl Protists	release 17
Hydra magnipapillata	6085	core	unknown	not available
Schistosoma mansoni	6183	core	Ensembl Metazoa	release 17
Caenorhabditis briggsae	6238	periphery	Ensembl Metazoa	release 17
Caenorhabditis elegans	6239	core	Ensembl	release 70
Trichinella spiralis	6334	periphery	Ensembl Metazoa	release 17
Daphnia pulex	6669	core	Ensembl Metazoa	release 17
Ixodes scapularis	6945	core	Ensembl Metazoa	release 17
Acyrthosiphon pisum	7029	core	Ensembl Metazoa	release 17
Tribolium castaneum	7070	periphery	Ensembl Metazoa	release 17
Bombyx mori	7091	core	Ensembl Metazoa	release 17
Aedes aegypti	7159	periphery	Ensembl Metazoa	release 17
Anopheles gambiae	7165	periphery	Ensembl Metazoa	release 17
Culex quinquefasciatus	7176	periphery	Ensembl Metazoa	release 17
Drosophila ananassae	7217	periphery	Ensembl Metazoa	release 17
Drosophila grimshawi	7222	periphery	Ensembl Metazoa	release 17
Drosophila melanogaster	7227	core	Ensembl	release 70
Drosophila pseudoobscura	7237	periphery	Ensembl Metazoa	release 17
Drosophila virilis	7244	periphery	Ensembl Metazoa	release 17
Drosophila yakuba	7245	periphery	Ensembl Metazoa	release 17
Drosophila willistoni	7260	periphery	Ensembl Metazoa	release 17
Nasonia vitripennis	7425	core	Ensembl Metazoa	release 17
Apis mellifera	7460	core	Ensembl Metazoa	release 17
Strongylocentrotus purpuratus	7668	periphery	Ensembl Metazoa	release 17
Ciona intestinalis	7719	core	Ensembl	release 70
Branchiostoma floridae	7739	core	JGI	not available
Petromyzon marinus	7757	periphery	Ensembl	release 70
Latimeria chalumnae	7897	core	Ensembl	release 70
Danio rerio	7955	periphery	Ensembl	release 70
Gadus morhua	8049	core	Ensembl	release 70
Xiphophorus maculatus	8083	core	Ensembl	release 70
Oryzias latipes	8090	periphery	Ensembl	release 70
Oreochromis niloticus	8128	core	Ensembl	release 70
Xenopus (Silurana) tropicalis	8364	core	Ensembl	release 70
Gallus gallus	9031	core	Ensembl	release 70
Meleagris gallopavo	9103	periphery	Ensembl	release 70
Ornithorhynchus anatinus	9258	core	Ensembl	release 70
Sarcophilus harrisii	9305	core	Ensembl	release 70
Macropus eugenii	9315	periphery	Ensembl	release 70
Dasypus novemcinctus	9361	periphery	Ensembl	release 70
Echinops telfairi	9371	periphery	Ensembl	release 70
Tarsius syrichta	9478	periphery	Ensembl	release 70
Callithrix jacchus	9483	core	Ensembl	release 70
Macaca mulatta	9544	periphery	Ensembl	release 70
Gorilla gorilla	9593	core	Ensembl	release 70
Pan troglodytes	9598	periphery	Ensembl	release 70
Pongo abelii	9601	periphery	Ensembl	release 70
Homo sapiens	9606	core	Ensembl	release 70
Canis lupus familiaris	9615	core	Ensembl	release 70
Ailuropoda melanoleuca	9646	core	Ensembl	release 70
Mustela putorius furo	9669	core	Ensembl	release 70
Felis catus	9685	periphery	Ensembl	release 70
Tursiops truncatus	9739	core	Ensembl	release 70
Loxodonta africana	9785	core	Ensembl	release 70
Equus caballus	9796	periphery	Ensembl	release 70
Procavia capensis	9813	periphery	Ensembl	release 70
Sus scrofa	9823	periphery	Ensembl	release 70
Bos taurus	9913	periphery	Ensembl	release 70
Oryctolagus cuniculus	9986	periphery	Ensembl	release 70
Dipodomys ordii	10020	periphery	Ensembl	release 70
Mus musculus	10090	core	Ensembl	release 70
Rattus norvegicus	10116	periphery	Ensembl	release 70
Cavia porcellus	10141	periphery	Ensembl	release 70
Trichoplax adhaerens	10228	core	Ensembl Metazoa	release 17
Atta cephalotes	12957	core	Ensembl Metazoa	release 17
Danaus plexippus	13037	core	Ensembl Metazoa	release 17
Monodelphis domestica	13616	core	Ensembl	release 70
Phaeosphaeria nodorum	13684	periphery	Ensembl Fungi	release 17
Pelodiscus sinensis	13735	core	Ensembl	release 70
Brachypodium distachyon	15368	periphery	Ensembl Plants	release 17
Anolis carolinensis	28377	periphery	Ensembl	release 70
Vitis vinifera	29760	periphery	Ensembl Plants	release 17
Gaeumannomyces graminis	29850	core	Ensembl Fungi	release 17
Hypocrea virens	29875	core	Ensembl Fungi	release 17
Microcebus murinus	30608	periphery	Ensembl	release 70
Otolemur garnettii	30611	core	Ensembl	release 70
Takifugu rubripes	31033	periphery	Ensembl	release 70
Caenorhabditis remanei	31234	periphery	Ensembl Metazoa	release 17
Clavibacter michiganensis subsp. sepedonicus	31964	core	Refseq	not available
Synechococcus sp. PCC 7002	32049	core	Refseq	not available
Synechococcus sp. WH 7803	32051	periphery	Refseq	not available
Eremothecium gossypii	33169	core	Ensembl Fungi	release 17
Aspergillus terreus	33178	periphery	Ensembl Fungi	release 17
Heliconius melpomene	34740	periphery	Ensembl Metazoa	release 17
Thalassiosira pseudonana	35128	core	Ensembl Protists	release 17
Neosartorya fischeri	36630	core	Ensembl Fungi	release 17
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	36870	core	Refseq	not available
Tupaia belangeri	37347	periphery	Ensembl	release 70
Candidatus Phytoplasma mali	37692	core	Refseq	not available
Tuber melanosporum	39416	periphery	Ensembl Fungi	release 17
Oryza sativa Indica Group	39946	periphery	Ensembl Plants	release 17
Oryza sativa Japonica Group	39947	core	Ensembl Plants	release 17
Streptococcus equi subsp. zooepidemicus	40041	periphery	Refseq	not available
Botryotinia fuckeliana	40559	core	Ensembl Fungi	release 17
Cyanothece sp. PCC 8801	41431	periphery	Refseq	not available
Anopheles darlingi	43151	periphery	Ensembl Metazoa	release 17
Ictidomys tridecemlineatus	43179	core	Ensembl	release 70
Cyanothece sp. ATCC 51142	43989	periphery	Refseq	not available
Dictyostelium discoideum	44689	core	Ensembl Protists	release 17
Cyanidioschyzon merolae	45157	periphery	Ensembl Plants	release 17
Nematostella vectensis	45351	periphery	Ensembl Metazoa	release 17
unidentified eubacterium SCB49	50743	periphery	Refseq	not available
Hypocrea jecorina	51453	periphery	JGI	not available
Ciona savignyi	51511	periphery	Ensembl	release 70
Sulfitobacter sp. EE-36	52598	core	Refseq	not available
Pristionchus pacificus	54126	periphery	Ensembl Metazoa	release 17
Syntrophus aciditrophicus SB	56780	core	Refseq	not available
Moritella sp. PE36	58051	core	Refseq	not available
Rickettsiella grylli	59196	core	Refseq	not available
Fibrobacter succinogenes subsp. succinogenes S85	59374	core	Refseq	not available
Myotis lucifugus	59463	core	Ensembl	release 70
Arabidopsis lyrata	59689	periphery	Ensembl Plants	release 17
Taeniopygia guttata	59729	core	Ensembl	release 70
Candidatus Phytoplasma australiense	59748	periphery	Refseq	not available
Prochlorococcus marinus subsp. pastoris str. CCMP1986	59919	periphery	Refseq	not available
Synechococcus sp. WH 7805	59931	periphery	Refseq	not available
Nomascus leucogenys	61853	core	Ensembl	release 70
Azoarcus sp. BH72	62928	core	Refseq	not available
Acinetobacter sp. ADP1	62977	core	Refseq	not available
Nostoc punctiforme PCC 73102	63737	core	Refseq	not available
Halobacterium sp. NRC-1	64091	core	Refseq	not available
Synechococcus sp. CC9311	64471	periphery	Refseq	not available
Pythium ultimum	65071	core	Ensembl Protists	release 17
Cyanothece sp. PCC 7424	65393	core	Refseq	not available
Bacillus clausii KSM-K16	66692	periphery	Refseq	not available
Phytophthora sojae	67593	periphery	Ensembl Protists	release 17
Thermococcus kodakarensis KOD1	69014	periphery	Refseq	not available
Synechococcus sp. WH 5701	69042	periphery	Refseq	not available
Gasterosteus aculeatus	69293	core	Ensembl	release 70
Ostreococcus tauri	70448	core	unknown	not available
Pyrococcus horikoshii OT3	70601	periphery	Refseq	not available
Haemophilus influenzae Rd KW20	71421	core	Refseq	not available
Prochlorococcus marinus str. MIT 9312	74546	periphery	Refseq	not available
Prochlorococcus marinus str. MIT 9313	74547	periphery	Refseq	not available
Aromatoleum aromaticum EbN1	76114	core	Refseq	not available
Pseudomonas putida GB-1	76869	periphery	Refseq	not available
Xanthobacter autotrophicus Py2	78245	core	Refseq	not available
Methanothermobacter marburgensis str. Marburg	79929	periphery	Refseq	not available
Mycobacterium tuberculosis H37Rv	83332	periphery	Refseq	not available
gamma proteobacterium HdN1	83406	periphery	Refseq	not available
Synechococcus sp. WH 8102	84588	periphery	Refseq	not available
Thauera sp. MZ1T	85643	core	Refseq	not available
Helicobacter pylori 26695	85962	periphery	Refseq	not available
Helicobacter pylori J99	85963	periphery	Refseq	not available
Pseudoalteromonas tunicata D2	87626	periphery	Refseq	not available
Selaginella moellendorffii	88036	core	Ensembl Plants	release 17
Roseovarius nubinhibens ISM	89187	periphery	Refseq	not available
Synechococcus sp. PCC 7335	91464	periphery	Refseq	not available
Prochlorococcus marinus str. MIT 9211	93059	periphery	Refseq	not available
Prochlorococcus marinus str. MIT 9215	93060	periphery	Refseq	not available
Staphylococcus aureus subsp. aureus NCTC 8325	93061	periphery	Refseq	not available
Staphylococcus aureus subsp. aureus COL 38	93062	periphery	Refseq	not available
Shewanella sp. ANA-3	94122	periphery	Refseq	not available
Desulfococcus oleovorans Hxd3	96561	core	Refseq	not available
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	99287	periphery	Refseq	not available
Tetraodon nigroviridis	99883	periphery	Ensembl	release 70
Streptomyces coelicolor A3(2)	100226	periphery	Refseq	not available
Rhodococcus jostii RHA1	101510	periphery	Refseq	not available
Nostoc sp. PCC 7120	103690	periphery	Refseq	not available
Nitrosococcus watsonii C-113	105559	periphery	Refseq	not available
Frankia sp. CcI3	106370	core	Refseq	not available
Buchnera aphidicola str. APS (Acyrthosiphon pisum)	107806	periphery	Refseq	not available
Synechococcus sp. CC9605	110662	periphery	Refseq	not available
Bradyrhizobium sp. ORS 278	114615	core	Refseq	not available
Chlamydophila pneumoniae CWL029	115713	core	Refseq	not available
Gibberella moniliformis	117187	core	Ensembl Fungi	release 17
Microcoleus chthonoplastes PCC 7420	118168	core	Refseq	not available
Pediculus humanus	121225	core	Ensembl Metazoa	release 17
Neisseria meningitidis MC58	122586	core	Refseq	not available
Persephonella marina EX-H1	123214	core	Refseq	not available
Pteropus vampyrus	132908	core	Ensembl	release 70
Actinoplanes sp. SE50/110	134676	core	Refseq	not available
Caenorhabditis brenneri	135651	periphery	Ensembl Metazoa	release 17
Azospirillum sp. B510	137722	periphery	Refseq	not available
Desulfitobacterium hafniense Y51	138119	core	Refseq	not available
Necteria haematococca	140110	core	Ensembl Fungi	release 17
Prochlorococcus marinus str. AS9601	146891	core	Refseq	not available
Magnaporthe poae	148304	periphery	Ensembl Fungi	release 17
Magnaporthe grisea	148305	core	Uniprot	not available
Nitrosomonas sp. AL212	153948	periphery	Refseq	not available
Escherichia coli O157:H7 str. EDL933 51	155864	periphery	Refseq	not available
Alteromonadales bacterium TW-7	156578	periphery	Refseq	not available
Flavobacteria bacterium BBFL7	156586	periphery	Refseq	not available
Magnetococcus marinus MC-1	156889	core	Refseq	not available
Sphaerochaeta globus str. Buddy	158189	core	Refseq	not available
Sphaerochaeta pleomorpha str. Grapes	158190	periphery	Refseq	not available
Staphylococcus aureus subsp. aureus Mu50	158878	core	Refseq	not available
Dechloromonas aromatica RCB	159087	core	Refseq	not available
Pseudomonas putida KT2440	160488	periphery	Refseq	not available
Streptococcus pyogenes M1 GAS	160490	periphery	Refseq	not available
Xylella fastidiosa 9a5c	160492	core	Refseq	not available
Erythrobacter sp. SD-21	161528	core	Refseq	not available
Emericella nidulans	162425	periphery	Ensembl Fungi	release 17
Wolbachia endosymbiont of Drosophila melanogaster	163164	core	Refseq	not available
Phytophthora ramorum	164328	periphery	Ensembl Protists	release 17
Mycobacterium sp. JLS	164757	periphery	Refseq	not available
Synechococcus sp. WH 8109	166314	periphery	Refseq	not available
Prochlorococcus marinus subsp. marinus str. CCMP1375	167539	periphery	Refseq	not available
Prochlorococcus marinus str. MIT 9515	167542	periphery	Refseq	not available
Prochlorococcus marinus str. MIT 9301	167546	periphery	Refseq	not available
Prochlorococcus marinus str. NATL1A	167555	periphery	Refseq	not available
Colwellia psychrerythraea 34H	167879	core	Refseq	not available
Listeria monocytogenes EGD-e 76	169963	periphery	Refseq	not available
Streptococcus pneumoniae TIGR4	170187	core	Refseq	not available
Streptococcus pneumoniae R6 69	171101	periphery	Refseq	not available
Staphylococcus epidermidis RP62A	176279	periphery	Refseq	not available
Staphylococcus epidermidis ATCC 12228 44	176280	periphery	Refseq	not available
Agrobacterium tumefaciens str. C58	176299	periphery	Refseq	not available
Francisella tularensis subsp. tularensis SCHU S4	177416	core	Refseq	not available
Desulfobacterium autotrophicum HRM2	177437	core	Refseq	not available
Desulfotalea psychrophila LSv54	177439	core	Refseq	not available
Pyrobaculum aerophilum str. IM2	178306	periphery	Refseq	not available
Cyanobium sp. PCC 7001	180281	core	Refseq	not available
Chlamydophila pneumoniae TW-183	182082	periphery	Refseq	not available
Giardia lamblia ATCC 50803	184922	periphery	Refseq	protozoa
Pyrococcus furiosus DSM 3638	186497	periphery	Refseq	not available
Alkalilimnicola ehrlichii MLHE-1	187272	core	Refseq	not available
Yersinia pestis KIM10+ 49	187410	periphery	Refseq	not available
Methanothermobacter thermautotrophicus str. Delta H	187420	core	Refseq	not available
Dermacoccus sp. Ellin185	188626	core	Refseq	not available
Methanosarcina acetivorans C2A	188937	periphery	Refseq	not available
Leptospira interrogans serovar Lai str. 56601	189518	core	Refseq	not available
Methanopyrus kandleri AV19	190192	core	Refseq	not available
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	190304	periphery	Refseq	not available
Xanthomonas campestris pv. campestris str. ATCC 33913	190485	core	Refseq	not available
Xanthomonas axonopodis pv. citri str. 306	190486	periphery	Refseq	not available
Caulobacter crescentus CB15	190650	periphery	Refseq	not available
Campylobacter jejuni subsp. jejuni NCTC 11168	192222	core	Refseq	not available
Methanosarcina mazei Go1	192952	periphery	Refseq	not available
Chlorobium tepidum TLS	194439	core	Refseq	not available
Clostridium perfringens ATCC 13124	195103	periphery	Refseq	not available
Nocardioides sp. JS614	196162	core	Refseq	not available
Corynebacterium efficiens YS-314	196164	periphery	Refseq	not available
Corynebacterium glutamicum ATCC 13032	196627	periphery	Refseq	not available
Thermosynechococcus elongatus BP-1	197221	core	Refseq	not available
Bacillus anthracis str. Ames 70	198094	periphery	Refseq	not available
Shigella flexneri 2a str. 301	198214	core	Refseq	not available
Dickeya dadantii 3937	198628	periphery	Refseq	not available
Buchnera aphidicola str. Sg (Schizaphis graminum)	198804	periphery	Refseq	not available
Escherichia coli CFT073 77	199310	periphery	Refseq	not available
Clostridium thermocellum ATCC 27405	203119	periphery	Refseq	not available
Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	203120	periphery	Refseq	not available
Saccharophagus degradans 2-40	203122	core	Refseq	not available
Oenococcus oeni PSU-1	203123	core	Refseq	not available
Trichodesmium erythraeum IMS101	203124	core	Refseq	not available
Tropheryma whipplei str. Twist	203267	core	Refseq	not available
Tannerella forsythia ATCC 43037	203275	core	Refseq	not available
Candidatus Blochmannia floridanus	203907	periphery	Refseq	not available
Sulfurihydrogenibium azorense Az-Fu1	204536	core	Refseq	not available
Candidatus Koribacter versatilis Ellin345	204669	core	Refseq	not available
Herminiimonas arsenicoxydans	204773	core	Refseq	not available
Haemophilus somnus 129PT	205914	core	Refseq	not available
Pseudomonas syringae pv. syringae B728a	205918	periphery	Refseq	not available
Ehrlichia chaffeensis str. Arkansas	205920	periphery	Refseq	not available
Pseudomonas fluorescens Pf0-1	205922	periphery	Refseq	not available
Bifidobacterium longum NCC2705	206672	periphery	Refseq	not available
Desulfovibrio alaskensis G20	207559	periphery	Refseq	not available
Bermanella marisrubri	207949	core	Refseq	not available
Neptuniibacter caesariensis	207954	core	Refseq	not available
Puccinia triticina	208348	periphery	Ensembl Fungi	release 17
Carnobacterium sp. 17-4	208596	periphery	Refseq	not available
Pseudomonas aeruginosa PAO1	208964	periphery	Refseq	not available
Streptococcus mutans UA159	210007	periphery	Refseq	not available
Streptococcus agalactiae NEM316	211110	periphery	Refseq	not available
Shewanella oneidensis MR-1	211586	periphery	Refseq	not available
Anaplasma phagocytophilum HZ	212042	core	Refseq	not available
Clostridium tetani E88	212717	core	Refseq	not available
Ruminococcus champanellensis 18P13	213810	periphery	Refseq	not available
Yersinia pestis CO92	214092	core	Refseq	not available
Cryptococcus neoformans var. neoformans JEC21	214684	periphery	Refseq	fungi
Croceibacter atlanticus HTCC2559	216432	core	Refseq	not available
Burkholderia cenocepacia J2315	216591	periphery	Refseq	not available
Mycobacterium marinum M	216594	periphery	Refseq	not available
Pseudomonas fluorescens SBW25	216595	periphery	Refseq	not available
Rhizobium leguminosarum bv. viciae 3841	216596	core	Refseq	not available
Vibrio vulnificus CMCP6	216895	core	Refseq	not available
Pectobacterium atrosepticum SCRI1043	218491	core	Refseq	not available
Salmonella bongori NCTC 12419	218493	periphery	Refseq	not available
Streptococcus uberis 0140J	218495	periphery	Refseq	not available
Chlamydophila abortus S26/3	218497	periphery	Refseq	not available
Micromonospora sp. ATCC 39149	219305	core	Refseq	not available
Salmonella enterica subsp. enterica serovar Typhi str. CT18	220341	core	Refseq	not available
Pseudomonas fluorescens Pf-5	220664	periphery	Refseq	not available
Lactobacillus plantarum WCFS1	220668	periphery	Refseq	not available
Oceanobacillus iheyensis HTE831	221109	core	Refseq	not available
Synechococcus sp. RS9916	221359	periphery	Refseq	not available
Synechococcus sp. RS9917	221360	periphery	Refseq	not available
Mannheimia succiniciproducens MBEL55E	221988	core	Refseq	not available
Neorickettsia sennetsu str. Miyayama	222891	periphery	Refseq	not available
Coccidioides posadasii C735 delta SOWgp	222929	core	Refseq	fungi
Pseudomonas syringae pv. tomato str. DC3000	223283	periphery	Refseq	not available
Vibrio parahaemolyticus RIMD 2210633	223926	periphery	Refseq	not available
Bacillus subtilis subsp. subtilis str. 168	224308	periphery	Refseq	not available
Aquifex aeolicus VF5	224324	core	Refseq	not available
Archaeoglobus fulgidus DSM 4304	224325	periphery	Refseq	not available
Borrelia burgdorferi B31	224326	periphery	Refseq	not available
Bradyrhizobium japonicum USDA 110	224911	periphery	Refseq	not available
Brucella melitensis bv. 1 str. 16M	224914	core	Refseq	not available
Buchnera aphidicola str. Bp (Baizongia pistaciae)	224915	periphery	Refseq	not available
Shewanella piezotolerans WP3	225849	periphery	Refseq	not available
Marinobacter adhaerens HP15	225937	periphery	Refseq	not available
Enterococcus faecalis V583	226185	core	Refseq	not available
Bacteroides thetaiotaomicron VPI-5482	226186	periphery	Refseq	not available
Bacillus cereus ATCC 14579 89	226900	periphery	Refseq	not available
Coxiella burnetii RSA 493	227377	core	Refseq	not available
Streptomyces avermitilis MA-4680	227882	periphery	Refseq	not available
Chlamydophila caviae GPIC	227941	core	Refseq	not available
Actinobacillus pleuropneumoniae serovar 1 str. 4074	228399	core	Refseq	not available
Hyphomonas neptunium ATCC 15444	228405	core	Refseq	not available
Nitrosomonas europaea ATCC 19718	228410	periphery	Refseq	not available
Nanoarchaeum equitans Kin4-M	228908	core	Refseq	not available
Gibberella zeae PH 1	229533	periphery	Refseq	fungi
Synechococcus sp. CB0101	232348	periphery	Refseq	not available
Synechococcus sp. CB0205	232363	periphery	Refseq	not available
Acidovorax sp. JS42	232721	core	Refseq	not available
Haemophilus ducreyi 35000HP	233412	periphery	Refseq	not available
Candidatus Solibacter usitatus Ellin6076	234267	core	Refseq	not available
Rhodococcus erythropolis PR4	234621	periphery	Refseq	not available
Anaplasma marginale str. St. Maries	234826	core	Refseq	not available
Pseudoalteromonas sp. SM9913	234831	core	Refseq	not available
Helicobacter hepaticus ATCC 51449	235279	periphery	Refseq	not available
Geobacillus kaustophilus HTA426	235909	core	Refseq	not available
Alcanivorax sp. DG881	236097	core	Refseq	not available
Erythrobacter sp. NAP1	237727	periphery	Refseq	not available
Acidobacterium capsulatum ATCC 51196	240015	core	Refseq	not available
Verrucomicrobium spinosum DSM 4136	240016	core	Refseq	not available
Coprinopsis cinerea okayama7#130	240176	core	Refseq	fungi
Anabaena variabilis ATCC 29413	240292	core	Refseq	not available
Porphyromonas gingivalis W83	242619	core	Refseq	not available
Rhodopirellula baltica SH 1	243090	core	Refseq	not available
Acidithiobacillus ferrooxidans ATCC 23270	243159	periphery	Refseq	not available
Burkholderia mallei ATCC 23344	243160	periphery	Refseq	not available
Chlamydia muridarum Nigg	243161	core	Refseq	not available
Dehalococcoides ethenogenes 195	243164	core	Refseq	not available
Deinococcus radiodurans R1	243230	periphery	Refseq	not available
Geobacter sulfurreducens PCA	243231	periphery	Refseq	not available
Methanocaldococcus jannaschii DSM 2661	243232	periphery	Refseq	not available
Methylococcus capsulatus str. Bath	243233	core	Refseq	not available
Photorhabdus luminescens subsp. laumondii TTO1	243265	core	Refseq	not available
Mycoplasma arthritidis 158L3-1	243272	periphery	Refseq	not available
Mycoplasma genitalium G37	243273	periphery	Refseq	not available
Thermotoga maritima MSB8	243274	periphery	Refseq	not available
Treponema denticola ATCC 35405	243275	periphery	Refseq	not available
Treponema pallidum subsp. pallidum str. Nichols	243276	periphery	Refseq	not available
Vibrio cholerae O1 biovar El Tor str. N16961	243277	core	Refseq	not available
Chromobacterium violaceum ATCC 12472	243365	core	Refseq	not available
Labrenzia alexandrii DFL-11	244592	periphery	Refseq	not available
butyrate-producing bacterium SS3/4	245014	periphery	Refseq	not available
butyrate-producing bacterium SSC/2	245018	periphery	Refseq	not available
Carboxydothermus hydrogenoformans Z-2901	246194	core	Refseq	not available
Dichelobacter nodosus VCS1703A	246195	core	Refseq	not available
Mycobacterium smegmatis str. MC2 155	246196	periphery	Refseq	not available
Myxococcus xanthus DK 1622	246197	periphery	Refseq	not available
Ruminococcus albus 8	246199	periphery	Refseq	not available
Ruegeria pomeroyi DSS-3	246200	periphery	Refseq	not available
Streptococcus mitis NCTC 12261	246201	periphery	Refseq	not available
Coccidioides immitis RS	246410	periphery	Refseq	fungi
Thermococcus sp. AM4	246969	periphery	Refseq	not available
Nocardia farcinica IFM 10152	247156	periphery	Refseq	not available
marine gamma proteobacterium HTCC2143	247633	periphery	Refseq	not available
marine gamma proteobacterium HTCC2148	247634	periphery	Refseq	not available
marine gamma proteobacterium HTCC2080	247639	periphery	Refseq	not available
Gloeobacter violaceus PCC 7421	251221	core	Refseq	not available
Oceanicola batsensis HTCC2597	252305	core	Refseq	not available
Streptomyces sp. C	253839	periphery	Refseq	not available
Ehrlichia ruminantium str. Welgevonden	254945	periphery	Refseq	not available
Dehalococcoides sp. CBDB1	255470	periphery	Refseq	not available
Bordetella bronchiseptica RB50	257310	core	Refseq	not available
Bordetella pertussis Tohama I	257313	periphery	Refseq	not available
Lactobacillus johnsonii NCC 533	257314	periphery	Refseq	not available
Rickettsia typhi str. Wilmington	257363	periphery	Refseq	not available
Rhodopseudomonas palustris CGA009	258594	periphery	Refseq	not available
Psychrobacter arcticus 273-4	259536	periphery	Refseq	not available
Methanococcoides burtonii DSM 6242	259564	core	Refseq	not available
Bacillus anthracis str. Sterne	260799	periphery	Refseq	not available
Nitrosomonas sp. Is79A3	261292	periphery	Refseq	not available
Buchnera aphidicola (Cinara tujafilina)	261317	core	Refseq	not available
Mycobacterium avium subsp. paratuberculosis K-10	262316	periphery	Refseq	not available
Exiguobacterium sibiricum 255-15	262543	periphery	Refseq	not available
Mycoplasma hyopneumoniae J	262719	periphery	Refseq	not available
Mycoplasma synoviae 53	262723	periphery	Refseq	not available
Thermus thermophilus HB27	262724	core	Refseq	not available
Onion yellows phytoplasma OY-M	262768	periphery	Refseq	not available
Verrucosispora maris AB-18-032	263358	core	Refseq	not available
Picrophilus torridus DSM 9790	263820	core	Refseq	not available
Ralstonia eutropha JMP134	264198	periphery	Refseq	not available
Streptococcus thermophilus LMG 18311	264199	periphery	Refseq	not available
Candidatus Protochlamydia amoebophila UWE25	264201	core	Refseq	not available
Chlamydophila felis Fe/C-56	264202	periphery	Refseq	not available
Bdellovibrio bacteriovorus HD100	264462	core	Refseq	not available
Pseudomonas syringae pv. phaseolicola 1448A	264730	periphery	Refseq	not available
Prevotella ruminicola 23	264731	periphery	Refseq	not available
Moorella thermoacetica ATCC 39073	264732	core	Refseq	not available
Methylobacillus flagellatus KT	265072	core	Refseq	not available
Mesoplasma florum L1	265311	core	Refseq	not available
Rubrobacter xylanophilus DSM 9941	266117	core	Refseq	not available
Cupriavidus metallidurans CH34	266264	periphery	Refseq	not available
Burkholderia xenovorans LB400	266265	periphery	Refseq	not available
Chelativorans sp. BNC1	266779	core	Refseq	not available
Sinorhizobium meliloti 1021	266834	periphery	Refseq	not available
